Date Time,Open,Close,High,Low,Volume,Smoothed_Close,Predicted,DirectionMatch,Diff_pred,GainLoss,CumulativeGainLoss,finbert_sentiment_score
2022-01-03 14:30:00+00:00,87.33,87.9,87.94,85.76,10644400,88.14365089993396,93.98157501220705,,6.082,,,0.8913923501968384
2022-01-04 14:30:00+00:00,87.9,88.84,89.58,87.73,11959000,87.55544038905772,93.58208465576172,0.0,4.742,-0.94,-0.94,0.0
2022-01-05 14:30:00+00:00,88.49,86.46,88.6,86.22,11236700,87.15634431772406,93.12570190429688,1.0,6.666,-2.38,-3.32,0.0
2022-01-06 14:30:00+00:00,86.0,86.34,87.42,85.55,7918400,86.90332048431733,92.6743392944336,1.0,6.334,-0.12,-3.44,-0.9287196397781372
2022-01-07 14:30:00+00:00,86.45,87.51,88.0,86.28,9836800,86.8500555605439,92.2824935913086,0.0,4.772,-1.17,-4.609999999999999,0.0
2022-01-10 14:30:00+00:00,87.38,89.28,89.38,86.95,11025500,86.93012725786322,92.02120971679688,0.0,2.741,-1.77,-6.379999999999999,0.0
2022-01-11 14:30:00+00:00,88.64,88.48,89.0,87.41,7249800,86.93736689086056,91.92068481445312,1.0,3.441,-0.8,-7.179999999999999,0.0
2022-01-12 14:30:00+00:00,88.89,88.31,89.52,87.67,5840300,86.89813977961573,91.9123306274414,1.0,3.602,-0.17,-7.349999999999999,-0.5933650135993958
2022-01-13 14:30:00+00:00,88.73,87.79,88.92,87.55,6044300,86.80655773553416,91.9376220703125,0.0,4.148,0.52,-6.829999999999998,0.0
2022-01-14 14:30:00+00:00,87.48,87.69,88.1,86.66,6054800,86.58381340116912,91.94763946533205,0.0,4.258,0.1,-6.729999999999999,0.0
2022-01-18 14:30:00+00:00,86.87,85.55,86.97,85.34,6824700,86.21251988316686,91.87489318847656,1.0,6.325,-2.14,-8.87,0.0
2022-01-19 14:30:00+00:00,85.77,83.38,86.69,83.23,10501800,85.5986377706674,91.6604995727539,1.0,8.28,-2.17,-11.04,0.0
2022-01-20 14:30:00+00:00,83.92,82.72,85.0,82.52,10836900,84.62105849241132,91.22501373291016,1.0,8.505,-0.66,-11.7,-0.8718579411506653
2022-01-21 14:30:00+00:00,83.36,82.22,83.39,82.03,11609000,83.44009094088199,90.4586181640625,1.0,8.239,-0.5,-12.2,0.0
2022-01-24 14:30:00+00:00,81.22,82.42,82.42,79.59,16770400,82.29317332447648,89.34274291992188,0.0,6.923,-0.2,-12.4,0.8430877923965454
2022-01-25 14:30:00+00:00,81.33,81.07,82.1,80.2,13469900,81.26001644374261,87.95250701904297,1.0,6.883,-1.35,-13.749999999999998,0.0
2022-01-26 14:30:00+00:00,81.91,79.59,82.03,79.28,13971300,80.51964288484855,86.41747283935547,1.0,6.827,-1.48,-15.23,0.9298135042190552
2022-01-27 14:30:00+00:00,80.11,79.78,81.15,79.2,10331900,80.05979998883976,84.96257781982422,0.0,5.183,-0.19,-15.419999999999998,0.0
2022-01-28 14:30:00+00:00,79.99,80.48,80.5,78.57,7854700,79.75223757196595,83.7396469116211,0.0,3.26,-0.7,-16.119999999999997,0.0
2022-01-31 14:30:00+00:00,80.49,81.16,81.64,80.12,10594200,79.75459216971615,82.83811950683594,0.0,1.678,-0.68,-16.799999999999997,-0.7627205848693848
2022-02-01 14:30:00+00:00,81.4,81.04,81.4,79.65,8016900,80.18830195052517,82.34303283691406,1.0,1.303,-0.12,-16.919999999999998,0.7584803104400635
2022-02-02 14:30:00+00:00,81.16,82.5,82.88,80.84,9287600,80.87059687941455,82.27153015136719,0.0,0.228,-1.46,-18.38,0.9392226338386536
2022-02-03 14:30:00+00:00,81.63,81.94,82.76,81.63,8207200,81.59786799305559,82.62505340576172,0.0,0.685,0.56,-17.82,0.0
2022-02-04 14:30:00+00:00,82.03,82.11,82.91,81.47,5570200,82.22565214592824,83.35977172851562,1.0,1.25,0.17,-17.65,0.0
2022-02-07 14:30:00+00:00,82.14,80.74,82.25,80.66,6292200,82.49063244850532,84.35665893554688,0.0,3.617,1.37,-16.279999999999998,0.0
2022-02-08 14:30:00+00:00,80.29,80.79,80.86,79.8,6585300,82.44656600311073,85.2851333618164,1.0,4.495,0.05,-16.229999999999997,0.0
2022-02-09 14:30:00+00:00,81.75,83.45,83.65,81.65,8755900,82.26634617631075,85.93903350830078,1.0,2.489,2.66,-13.569999999999997,-0.8193809390068054
2022-02-10 14:30:00+00:00,82.75,81.85,83.78,81.62,6336300,81.76683245267928,86.26880645751953,0.0,4.419,1.6,-11.969999999999995,0.0
2022-02-11 14:30:00+00:00,81.84,79.75,82.43,79.53,7670500,80.83101495879583,86.18595123291016,1.0,6.436,-2.1,-14.069999999999997,0.0
2022-02-14 14:30:00+00:00,79.58,78.95,79.73,78.44,5389800,79.63192262329243,85.58523559570312,1.0,6.635,-0.8,-14.869999999999996,-0.5635199546813965
