Date Time,Open,Close,High,Low,Volume,Smoothed_Close,Predicted,DirectionMatch,Diff_pred,GainLoss,CumulativeGainLoss,finbert_sentiment_score
2022-01-03 14:30:00+00:00,140.32,141.4,141.57,139.16,811200,139.7166499965544,152.7425079345703,,11.343,,,0.938944935798645
2022-01-04 14:30:00+00:00,141.11,140.27,141.32,139.94,749400,139.43814697525266,152.96026611328125,0.0,12.69,1.13,1.13,-0.8484365344047546
2022-01-05 14:30:00+00:00,141.64,139.58,141.69,139.39,902900,139.14136978333875,153.11123657226562,0.0,13.531,0.69,1.82,-0.948665201663971
2022-01-06 14:30:00+00:00,137.26,136.99,138.65,136.8,837300,138.9028611622906,153.17446899414062,0.0,16.184,2.59,4.41,-0.9587607383728028
2022-01-07 14:30:00+00:00,137.07,138.26,138.43,136.62,632300,138.76406518275357,153.1686248779297,0.0,14.909,-1.27,3.14,-0.9053506851196288
2022-01-10 14:30:00+00:00,137.11,138.61,138.65,136.48,803500,138.8073676743865,153.12875366210938,0.0,14.519,-0.35,2.79,-0.9147555828094482
2022-01-11 14:30:00+00:00,137.74,138.79,138.97,137.46,720400,138.9250008748817,153.13255310058594,1.0,14.343,0.18,2.97,-0.6482048034667969
2022-01-12 14:30:00+00:00,139.87,140.15,140.41,139.0,591500,138.92767362693408,153.19683837890625,1.0,13.047,1.36,4.33,0.0
2022-01-13 14:30:00+00:00,139.03,135.91,139.4,135.79,657300,138.77903579838605,153.24392700195312,0.0,17.334,4.24,8.57,0.0
2022-01-14 14:30:00+00:00,136.56,138.9,139.04,136.53,1388800,138.37842680261863,153.21241760253906,0.0,14.312,-2.99,5.58,-0.9547722339630128
2022-01-18 14:30:00+00:00,136.43,136.1,137.81,135.71,988000,137.7208667485207,153.03981018066406,1.0,16.94,-2.8,2.78,-0.5002055764198303
2022-01-19 14:30:00+00:00,137.22,136.79,138.62,136.69,681300,136.88720180051044,152.67799377441406,0.0,15.888,-0.69,2.0900000000000003,-0.9193572402000428
2022-01-20 14:30:00+00:00,139.28,137.01,139.82,136.89,1018100,135.77194919333695,152.1231689453125,0.0,15.113,-0.22,1.8700000000000003,0.0
2022-01-21 14:30:00+00:00,137.37,135.8,137.84,135.74,1414800,134.28598254932567,151.2722930908203,1.0,15.472,-1.21,0.6600000000000004,-0.8928133249282837
2022-01-24 14:30:00+00:00,132.16,133.72,133.93,129.67,1767900,132.5816264044167,150.0690460205078,1.0,16.349,-2.08,-1.4199999999999997,0.0
2022-01-25 14:30:00+00:00,130.8,132.32,133.91,129.9,1474600,130.84013192401326,148.45407104492188,1.0,16.134,-1.4,-2.8199999999999994,-0.910998284816742
2022-01-26 14:30:00+00:00,133.32,132.28,134.35,131.33,1572900,129.17665627529018,146.5686492919922,1.0,14.289,-0.04,-2.8599999999999994,-0.5154837369918823
2022-01-27 14:30:00+00:00,123.92,122.38,125.2,122.08,2149000,127.79912515356249,144.5295867919922,1.0,22.15,-9.9,-12.76,0.0
2022-01-28 14:30:00+00:00,119.7,121.97,122.03,119.04,1479600,126.68949270001546,142.50335693359375,1.0,20.533,-0.41,-13.17,0.8957647681236267
2022-01-31 14:30:00+00:00,121.82,125.21,125.23,121.82,1143000,125.7369281854606,140.6094970703125,0.0,15.399,-3.24,-16.41,0.0
2022-02-01 14:30:00+00:00,126.55,127.68,127.84,125.33,1289400,125.10215485154528,138.8290252685547,0.0,11.149,-2.47,-18.88,0.8755092024803162
2022-02-02 14:30:00+00:00,127.0,127.15,127.47,126.65,989800,124.90094101864238,137.29388427734375,1.0,10.144,-0.53,-19.41,0.0
2022-02-03 14:30:00+00:00,124.28,123.81,125.44,123.59,1063900,124.9660555745014,136.1404571533203,1.0,12.33,-3.34,-22.75,0.6399491429328918
2022-02-04 14:30:00+00:00,124.54,126.14,126.44,124.29,1343100,125.10787389425394,135.3843231201172,0.0,9.244,-2.33,-25.08,0.0
2022-02-07 14:30:00+00:00,127.71,126.89,128.16,126.53,1121800,125.1860670367131,134.92784118652344,0.0,8.038,-0.75,-25.83,0.0
2022-02-08 14:30:00+00:00,125.28,125.69,125.9,124.75,711300,124.9455838695366,134.63011169433594,1.0,8.94,-1.2,-27.03,-0.9623883366584778
2022-02-09 14:30:00+00:00,125.55,126.29,126.37,124.93,945900,124.4477302873404,134.2717742919922,0.0,7.982,-0.6,-27.63,0.0
2022-02-10 14:30:00+00:00,123.54,123.85,126.16,123.47,679500,123.87024577882092,133.71243286132812,1.0,9.862,-2.44,-30.07,0.0
2022-02-11 14:30:00+00:00,123.63,120.34,124.18,120.02,979100,123.03814775711712,132.94398498535156,1.0,12.604,-3.51,-33.58,0.0
2022-02-14 14:30:00+00:00,118.59,118.35,119.54,117.49,1384500,121.84233848142448,131.89208984375,1.0,13.542,-1.99,-35.57,0.0
2022-02-15 14:30:00+00:00,120.21,120.25,120.56,119.66,703400,120.41956907893844,130.43382263183594,0.0,10.184,-1.9,-37.47,-0.8947755694389343
2022-02-16 14:30:00+00:00,119.86,120.91,121.05,119.08,766600,118.88548361622108,128.56744384765625,0.0,7.657,-0.66,-38.13,0.0
2022-02-17 14:30:00+00:00,119.57,117.84,119.78,117.73,724700,117.36830456046243,126.45014190673828,1.0,8.61,-3.07,-41.2,-0.949815273284912
2022-02-18 14:30:00+00:00,117.61,115.71,117.67,115.61,831600,116.09736840758966,124.21131896972656,1.0,8.501,-2.13,-43.33,0.0
2022-02-22 14:30:00+00:00,113.56,113.56,114.53,112.35,1052500,114.9680022065316,121.99993133544922,1.0,8.44,-2.15,-45.48,0.0
2022-02-23 14:30:00+00:00,114.38,110.98,114.51,110.88,1219500,113.77497148399333,119.93543243408205,1.0,8.955,-2.58,-48.06,0.0
2022-02-24 14:30:00+00:00,107.62,111.95,112.01,107.37,1878600,112.63369656372616,118.00301361083984,0.0,6.053,-0.97,-49.03,0.0
2022-02-25 14:30:00+00:00,113.6,115.02,115.05,112.98,909500,111.58354206330468,116.22743225097656,0.0,1.207,-3.07,-52.1,-0.7497378587722778
2022-02-28 14:30:00+00:00,112.18,112.58,114.14,111.47,1295500,110.61552893079086,114.64436340332033,1.0,2.064,-2.44,-54.53999999999999,0.0
2022-03-01 14:30:00+00:00,111.14,109.25,111.92,108.88,1442000,109.80996945584684,113.26378631591795,1.0,4.014,-3.33,-57.86999999999999,-0.8693634867668152
2022-03-02 14:30:00+00:00,111.12,113.19,113.44,110.63,1509900,109.1192419273756,112.1083984375,0.0,1.082,-3.94,-61.80999999999999,0.0
2022-03-03 14:30:00+00:00,111.48,109.01,111.54,108.66,1281900,108.46976137508994,111.17808532714844,1.0,2.168,-4.18,-65.98999999999998,0.0
2022-03-04 14:30:00+00:00,107.12,106.1,107.4,105.34,1618000,107.97564101365435,110.64077758789062,1.0,4.541,-2.91,-68.89999999999998,-0.6864430904388428
2022-03-07 14:30:00+00:00,108.06,104.97,108.46,104.95,1888000,107.7638774906485,110.22859191894533,1.0,5.259,-1.13,-70.02999999999997,0.9389302730560304
2022-03-08 14:30:00+00:00,106.09,106.21,108.97,104.14,1672700,107.86556421192633,109.95319366455078,0.0,3.743,-1.24,-71.26999999999997,0.0
2022-03-09 14:30:00+00:00,109.63,111.85,112.94,109.23,1394800,108.36214435322486,109.85481262207033,0.0,1.995,-5.64,-76.90999999999997,-0.8363890051841736
2022-03-10 14:30:00+00:00,108.09,108.51,109.44,107.48,874200,109.14031913127744,109.98882293701172,0.0,1.479,3.34,-73.56999999999996,-0.6775133609771729
